Code,Year,Name,Landfall Counts,Max Category Rating,Anomaly
AL021851,1851,UNNAMED,0,0,0.0
AL031851,1851,UNNAMED,0,0,0.0
AL041851,1851,UNNAMED,1,3,0.0
AL051851,1851,UNNAMED,0,0,0.0
AL061851,1851,UNNAMED,1,0,0.0
AL011852,1852,UNNAMED,1,3,0.03
AL021852,1852,UNNAMED,0,1,0.03
AL031852,1852,UNNAMED,1,1,0.03
AL041852,1852,UNNAMED,0,2,0.03
AL051852,1852,UNNAMED,1,2,0.03
AL011853,1853,UNNAMED,0,0,0.01
AL021853,1853,UNNAMED,0,0,0.01
AL031853,1853,UNNAMED,0,4,0.01
AL041853,1853,UNNAMED,0,3,0.01
AL051853,1853,UNNAMED,0,0,0.01
AL061853,1853,UNNAMED,0,1,0.01
AL071853,1853,UNNAMED,0,1,0.01
AL081853,1853,UNNAMED,0,2,0.01
AL011854,1854,UNNAMED,1,1,-0.02
AL021854,1854,UNNAMED,0,3,-0.02
AL031854,1854,UNNAMED,1,3,-0.02
AL041854,1854,UNNAMED,1,2,-0.02
AL051854,1854,UNNAMED,0,2,-0.02
AL011855,1855,UNNAMED,0,2,0.01
AL021855,1855,UNNAMED,0,2,0.01
AL031855,1855,UNNAMED,0,0,0.01
AL041855,1855,UNNAMED,0,1,0.01
AL051855,1855,UNNAMED,1,3,0.01
AL011856,1856,UNNAMED,1,4,-0.1
AL021856,1856,UNNAMED,0,1,-0.1
AL031856,1856,UNNAMED,1,0,-0.1
AL041856,1856,UNNAMED,0,1,-0.1
AL051856,1856,UNNAMED,1,3,-0.1
AL061856,1856,UNNAMED,0,1,-0.1
AL011857,1857,UNNAMED,0,0,-0.15
AL021857,1857,UNNAMED,1,2,-0.15
AL031857,1857,UNNAMED,0,1,-0.15
AL041857,1857,UNNAMED,1,2,-0.15
AL011858,1858,UNNAMED,0,1,-0.1
AL021858,1858,UNNAMED,0,0,-0.1
AL031858,1858,UNNAMED,3,2,-0.1
AL041858,1858,UNNAMED,0,1,-0.1
AL051858,1858,UNNAMED,0,1,-0.1
AL061858,1858,UNNAMED,0,2,-0.1
AL011859,1859,UNNAMED,0,2,0.02
AL021859,1859,UNNAMED,0,2,0.02
AL031859,1859,UNNAMED,0,2,0.02
AL041859,1859,UNNAMED,0,2,0.02
AL051859,1859,UNNAMED,1,1,0.02
AL061859,1859,UNNAMED,0,3,0.02
AL071859,1859,UNNAMED,1,0,0.02
AL081859,1859,UNNAMED,1,1,0.02
AL011860,1860,UNNAMED,1,3,-0.06
AL021860,1860,UNNAMED,0,2,-0.06
AL041860,1860,UNNAMED,1,2,-0.06
AL031860,1860,UNNAMED,0,0,-0.06
AL051860,1860,UNNAMED,0,0,-0.06
AL061860,1860,UNNAMED,1,2,-0.06
AL071860,1860,UNNAMED,0,2,-0.06
AL011861,1861,UNNAMED,0,2,-0.13
AL021861,1861,UNNAMED,0,1,-0.13
AL031861,1861,UNNAMED,0,2,-0.13
AL041861,1861,UNNAMED,0,1,-0.13
AL051861,1861,UNNAMED,1,1,-0.13
AL061861,1861,UNNAMED,1,0,-0.13
AL071861,1861,UNNAMED,0,0,-0.13
AL081861,1861,UNNAMED,3,1,-0.13
AL011862,1862,UNNAMED,0,2,-0.15
AL021862,1862,UNNAMED,0,2,-0.15
AL031862,1862,UNNAMED,0,2,-0.15
AL041862,1862,UNNAMED,0,1,-0.15
AL051862,1862,UNNAMED,0,1,-0.15
AL061862,1862,UNNAMED,0,2,-0.15
AL011863,1863,UNNAMED,0,2,-0.06
AL021863,1863,UNNAMED,0,2,-0.06
AL031863,1863,UNNAMED,0,2,-0.06
AL041863,1863,UNNAMED,0,2,-0.06
AL051863,1863,UNNAMED,0,1,-0.06
AL061863,1863,UNNAMED,1,0,-0.06
AL071863,1863,UNNAMED,0,0,-0.06
AL081863,1863,UNNAMED,0,0,-0.06
AL091863,1863,UNNAMED,1,1,-0.06
AL011864,1864,UNNAMED,0,1,-0.02
AL021864,1864,UNNAMED,0,1,-0.02
AL031864,1864,UNNAMED,0,1,-0.02
AL041864,1864,UNNAMED,0,0,-0.02
AL051864,1864,UNNAMED,0,1,-0.02
AL011865,1865,UNNAMED,1,0,0.05
AL021865,1865,UNNAMED,0,0,0.05
AL031865,1865,UNNAMED,0,2,0.05
AL041865,1865,UNNAMED,2,2,0.05
AL051865,1865,UNNAMED,0,1,0.05
AL061865,1865,UNNAMED,0,0,0.05
AL071865,1865,UNNAMED,2,2,0.05
AL011866,1866,UNNAMED,1,2,0.06
AL021866,1866,UNNAMED,0,2,0.06
AL031866,1866,UNNAMED,0,1,0.06
AL041866,1866,UNNAMED,0,2,0.06
AL051866,1866,UNNAMED,0,2,0.06
AL061866,1866,UNNAMED,0,4,0.06
AL071866,1866,UNNAMED,0,0,0.06
AL011867,1867,UNNAMED,1,1,-0.02
AL021867,1867,UNNAMED,0,2,-0.02
AL031867,1867,UNNAMED,0,1,-0.02
AL041867,1867,UNNAMED,0,1,-0.02
AL051867,1867,UNNAMED,0,1,-0.02
AL061867,1867,UNNAMED,0,2,-0.02
AL071867,1867,UNNAMED,2,2,-0.02
AL081867,1867,UNNAMED,0,0,-0.02
AL091867,1867,UNNAMED,0,3,-0.02
AL011868,1868,UNNAMED,0,2,0.0
AL021868,1868,UNNAMED,1,2,0.0
AL031868,1868,UNNAMED,0,2,0.0
AL041868,1868,UNNAMED,0,2,0.0
AL011869,1869,UNNAMED,0,2,0.01
AL021869,1869,UNNAMED,1,2,0.01
AL031869,1869,UNNAMED,0,1,0.01
AL041869,1869,UNNAMED,0,1,0.01
AL051869,1869,UNNAMED,1,2,0.01
AL061869,1869,UNNAMED,2,3,0.01
AL071869,1869,UNNAMED,0,2,0.01
AL081869,1869,UNNAMED,0,0,0.01
AL091869,1869,UNNAMED,0,2,0.01
AL101869,1869,UNNAMED,4,2,0.01
AL011870,1870,UNNAMED,0,0,-0.01
AL021870,1870,UNNAMED,0,2,-0.01
AL031870,1870,UNNAMED,0,1,-0.01
AL041870,1870,UNNAMED,0,3,-0.01
AL051870,1870,UNNAMED,0,1,-0.01
AL061870,1870,UNNAMED,0,3,-0.01
AL071870,1870,UNNAMED,0,1,-0.01
AL081870,1870,UNNAMED,0,2,-0.01
AL091870,1870,UNNAMED,2,2,-0.01
AL101870,1870,UNNAMED,0,0,-0.01
AL111870,1870,UNNAMED,0,1,-0.01
AL011871,1871,UNNAMED,1,0,0.0
AL021871,1871,UNNAMED,1,1,0.0
AL031871,1871,UNNAMED,2,3,0.0
AL041871,1871,UNNAMED,1,3,0.0
AL051871,1871,UNNAMED,0,2,0.0
AL061871,1871,UNNAMED,1,1,0.0
AL071871,1871,UNNAMED,1,1,0.0
AL081871,1871,UNNAMED,0,1,0.0
AL011872,1872,UNNAMED,2,0,-0.03
AL021872,1872,UNNAMED,0,2,-0.03
AL031872,1872,UNNAMED,0,1,-0.03
AL041872,1872,UNNAMED,0,1,-0.03
AL051872,1872,UNNAMED,2,1,-0.03
AL011873,1873,UNNAMED,1,0,-0.07
AL021873,1873,UNNAMED,0,3,-0.07
AL031873,1873,UNNAMED,1,1,-0.07
AL041873,1873,UNNAMED,1,0,-0.07
AL051873,1873,UNNAMED,1,3,-0.07
AL011874,1874,UNNAMED,1,0,-0.13
AL021874,1874,UNNAMED,0,1,-0.13
AL031874,1874,UNNAMED,0,1,-0.13
AL041874,1874,UNNAMED,0,0,-0.13
AL051874,1874,UNNAMED,0,0,-0.13
AL061874,1874,UNNAMED,2,1,-0.13
AL071874,1874,UNNAMED,0,2,-0.13
AL011875,1875,UNNAMED,0,1,-0.01
AL021875,1875,UNNAMED,0,1,-0.01
AL031875,1875,UNNAMED,1,3,-0.01
AL041875,1875,UNNAMED,1,1,-0.01
AL051875,1875,UNNAMED,0,2,-0.01
AL061875,1875,UNNAMED,0,1,-0.01
AL011876,1876,UNNAMED,0,1,-0.07
AL021876,1876,UNNAMED,1,3,-0.07
AL031876,1876,UNNAMED,0,0,-0.07
AL041876,1876,UNNAMED,0,2,-0.07
AL051876,1876,UNNAMED,1,3,-0.07
AL011877,1877,UNNAMED,0,0,0.24
AL021877,1877,UNNAMED,2,1,0.24
AL031877,1877,UNNAMED,0,1,0.24
AL041877,1877,UNNAMED,1,3,0.24
AL051877,1877,UNNAMED,0,0,0.24
AL061877,1877,UNNAMED,0,0,0.24
AL071877,1877,UNNAMED,1,0,0.24
AL081877,1877,UNNAMED,0,0,0.24
AL011878,1878,UNNAMED,1,0,0.19
AL021878,1878,UNNAMED,0,1,0.19
AL031878,1878,UNNAMED,0,1,0.19
AL041878,1878,UNNAMED,0,2,0.19
AL051878,1878,UNNAMED,4,2,0.19
AL061878,1878,UNNAMED,0,2,0.19
AL071878,1878,UNNAMED,0,4,0.19
AL081878,1878,UNNAMED,1,1,0.19
AL091878,1878,UNNAMED,0,1,0.19
AL101878,1878,UNNAMED,0,3,0.19
AL111878,1878,UNNAMED,1,2,0.19
AL121878,1878,UNNAMED,0,0,0.19
AL011879,1879,UNNAMED,0,1,0.04
AL021879,1879,UNNAMED,2,3,0.04
AL031879,1879,UNNAMED,1,2,0.04
AL041879,1879,UNNAMED,1,3,0.04
AL051879,1879,UNNAMED,1,0,0.04
AL061879,1879,UNNAMED,1,0,0.04
AL071879,1879,UNNAMED,1,1,0.04
AL081879,1879,UNNAMED,0,2,0.04
AL011880,1880,UNNAMED,1,0,-0.02
AL021880,1880,UNNAMED,1,4,-0.02
AL031880,1880,UNNAMED,0,1,-0.02
AL041880,1880,UNNAMED,2,2,-0.02
AL051880,1880,UNNAMED,0,1,-0.02
AL061880,1880,UNNAMED,2,1,-0.02
AL071880,1880,UNNAMED,0,1,-0.02
AL081880,1880,UNNAMED,0,4,-0.02
AL091880,1880,UNNAMED,1,1,-0.02
AL101880,1880,UNNAMED,0,1,-0.02
AL111880,1880,UNNAMED,2,0,-0.02
