,Code,Year,Name,Landfall Counts,Max Category Rating
0,AL021851,1851,UNNAMED,0,0
1,AL031851,1851,UNNAMED,0,0
2,AL041851,1851,UNNAMED,1,3
3,AL051851,1851,UNNAMED,0,0
4,AL061851,1851,UNNAMED,1,0
5,AL011852,1852,UNNAMED,1,3
6,AL021852,1852,UNNAMED,0,1
7,AL031852,1852,UNNAMED,1,1
8,AL041852,1852,UNNAMED,0,2
9,AL051852,1852,UNNAMED,1,2
10,AL011853,1853,UNNAMED,0,0
11,AL021853,1853,UNNAMED,0,0
12,AL031853,1853,UNNAMED,0,4
13,AL041853,1853,UNNAMED,0,3
14,AL051853,1853,UNNAMED,0,0
15,AL061853,1853,UNNAMED,0,1
16,AL071853,1853,UNNAMED,0,1
17,AL081853,1853,UNNAMED,0,2
18,AL011854,1854,UNNAMED,1,1
19,AL021854,1854,UNNAMED,0,3
20,AL031854,1854,UNNAMED,1,3
21,AL041854,1854,UNNAMED,1,2
22,AL051854,1854,UNNAMED,0,2
23,AL011855,1855,UNNAMED,0,2
24,AL021855,1855,UNNAMED,0,2
25,AL031855,1855,UNNAMED,0,0
26,AL041855,1855,UNNAMED,0,1
27,AL051855,1855,UNNAMED,1,3
28,AL011856,1856,UNNAMED,1,4
29,AL021856,1856,UNNAMED,0,1
30,AL031856,1856,UNNAMED,1,0
31,AL041856,1856,UNNAMED,0,1
32,AL051856,1856,UNNAMED,1,3
33,AL061856,1856,UNNAMED,0,1
34,AL011857,1857,UNNAMED,0,0
35,AL021857,1857,UNNAMED,1,2
36,AL031857,1857,UNNAMED,0,1
37,AL041857,1857,UNNAMED,1,2
38,AL011858,1858,UNNAMED,0,1
39,AL021858,1858,UNNAMED,0,0
40,AL031858,1858,UNNAMED,3,2
41,AL041858,1858,UNNAMED,0,1
42,AL051858,1858,UNNAMED,0,1
43,AL061858,1858,UNNAMED,0,2
44,AL011859,1859,UNNAMED,0,2
45,AL021859,1859,UNNAMED,0,2
46,AL031859,1859,UNNAMED,0,2
47,AL041859,1859,UNNAMED,0,2
48,AL051859,1859,UNNAMED,1,1
49,AL061859,1859,UNNAMED,0,3
50,AL071859,1859,UNNAMED,1,0
51,AL081859,1859,UNNAMED,1,1
52,AL011860,1860,UNNAMED,1,3
53,AL021860,1860,UNNAMED,0,2
54,AL041860,1860,UNNAMED,1,2
55,AL031860,1860,UNNAMED,0,0
56,AL051860,1860,UNNAMED,0,0
57,AL061860,1860,UNNAMED,1,2
58,AL071860,1860,UNNAMED,0,2
59,AL011861,1861,UNNAMED,0,2
60,AL021861,1861,UNNAMED,0,1
61,AL031861,1861,UNNAMED,0,2
62,AL041861,1861,UNNAMED,0,1
63,AL051861,1861,UNNAMED,1,1
64,AL061861,1861,UNNAMED,1,0
65,AL071861,1861,UNNAMED,0,0
66,AL081861,1861,UNNAMED,3,1
67,AL011862,1862,UNNAMED,0,2
68,AL021862,1862,UNNAMED,0,2
69,AL031862,1862,UNNAMED,0,2
70,AL041862,1862,UNNAMED,0,1
71,AL051862,1862,UNNAMED,0,1
72,AL061862,1862,UNNAMED,0,2
73,AL011863,1863,UNNAMED,0,2
74,AL021863,1863,UNNAMED,0,2
75,AL031863,1863,UNNAMED,0,2
76,AL041863,1863,UNNAMED,0,2
77,AL051863,1863,UNNAMED,0,1
78,AL061863,1863,UNNAMED,1,0
79,AL071863,1863,UNNAMED,0,0
80,AL081863,1863,UNNAMED,0,0
81,AL091863,1863,UNNAMED,1,1
82,AL011864,1864,UNNAMED,0,1
83,AL021864,1864,UNNAMED,0,1
84,AL031864,1864,UNNAMED,0,1
85,AL041864,1864,UNNAMED,0,0
86,AL051864,1864,UNNAMED,0,1
87,AL011865,1865,UNNAMED,1,0
88,AL021865,1865,UNNAMED,0,0
89,AL031865,1865,UNNAMED,0,2
90,AL041865,1865,UNNAMED,2,2
91,AL051865,1865,UNNAMED,0,1
92,AL061865,1865,UNNAMED,0,0
93,AL071865,1865,UNNAMED,2,2
94,AL011866,1866,UNNAMED,1,2
95,AL021866,1866,UNNAMED,0,2
96,AL031866,1866,UNNAMED,0,1
97,AL041866,1866,UNNAMED,0,2
98,AL051866,1866,UNNAMED,0,2
99,AL061866,1866,UNNAMED,0,4
100,AL071866,1866,UNNAMED,0,0
101,AL011867,1867,UNNAMED,1,1
102,AL021867,1867,UNNAMED,0,2
103,AL031867,1867,UNNAMED,0,1
104,AL041867,1867,UNNAMED,0,1
105,AL051867,1867,UNNAMED,0,1
106,AL061867,1867,UNNAMED,0,2
107,AL071867,1867,UNNAMED,2,2
108,AL081867,1867,UNNAMED,0,0
109,AL091867,1867,UNNAMED,0,3
